enhancer	log2_FC	p	diff_fdr
chr3:150457276-150457594	1.837735538	1.43E-05	0.000160474
chr4:3463022-3463837	2.162709065	1.47E-05	0.000163833
chr1:25566618-25566670	-1.267575197	1.48E-05	0.000164655
chr8:128306934-128307283	-1.424499308	1.54E-05	0.000170541
chr15:96703320-96703585	-1.434956436	1.56E-05	0.000172831
chr3:188661502-188661787	-1.106127837	1.56E-05	0.000172831
chr6:159449163-159449535	-1.077220366	1.57E-05	0.000172831
chr4:79537274-79537650	-1.45915059	1.58E-05	0.000173601
chr15:101261855-101262549	-2.877952346	1.72E-05	0.000189237
chr12:52278286-52278855	-2.585206596	1.78E-05	0.000194512
chr2:242805912-242805984	-1.62900148	1.79E-05	0.000194562
chr5:44821100-44821499	1.099833269	1.79E-05	0.000194562
chr6:14910842-14911169	1.907907394	1.84E-05	0.000200287
chr8:10725251-10725387	-1.603961278	1.89E-05	0.000205343
chr8:66893726-66894034	1.351915343	1.97E-05	0.000213037
chr16:57377213-57377564	-2.861516307	2.02E-05	0.00021816
chr8:16999712-16999890	-1.701225741	2.12E-05	0.000227787
chr4:74569694-74570920	-2.236419978	2.25E-05	0.000241932
chr16:4349200-4349352	1.202608025	2.27E-05	0.000243407
chr11:122052220-122052515	-1.946736557	2.28E-05	0.000243407
chr20:290991-291448	1.268276212	2.29E-05	0.00024444
chr6:158185393-158186221	-1.869791642	2.34E-05	0.000248442
chr20:46556797-46557054	2.97844952	2.34E-05	0.000248442
chr5:957095-957485	2.493212085	2.39E-05	0.000253776
chr8:82252189-82252452	-2.193067118	2.50E-05	0.000264488
chr18:20035500-20035848	-2.060957044	2.60E-05	0.000274473
chr7:3283908-3284312	-1.733536137	2.64E-05	0.000278235
chr2:242714145-242714474	2.992432903	2.69E-05	0.000283047
chr11:12973520-12973623	-1.979974627	2.98E-05	0.000312743
chr14:105154013-105154712	1.866097598	3.08E-05	0.000322566
chr7:157092515-157093215	2.295532743	3.10E-05	0.000323531
chr16:1341001-1341384	3.088220556	3.16E-05	0.000329383
chr4:38859134-38859762	1.901518663	3.35E-05	0.00034752
chr16:88338212-88338634	1.461308093	3.43E-05	0.000355576
chr16:14088591-14088730	-2.061924886	3.46E-05	0.000358238
chr12:43506983-43507174	5.207016451	3.49E-05	0.000360096
chr2:235397514-235398106	-1.236951231	3.52E-05	0.000362448
chr14:91730791-91731194	1.724760246	3.58E-05	0.000367693
chr14:105541748-105541955	1.54581789	3.60E-05	0.000368592
chr8:102423654-102423774	1.979576272	3.60E-05	0.000368592
chr6:144537313-144537754	-1.056584434	3.64E-05	0.000371407
chr1:235010375-235010572	2.035565918	3.65E-05	0.000371638
chr10:44046358-44046416	1.119053162	3.72E-05	0.00037814
chr7:2538442-2538641	-1.861220977	3.73E-05	0.000378207
chr11:9635436-9636077	-1.114208167	3.88E-05	0.000392283
chr16:50573093-50573439	3.30942179	3.88E-05	0.000392283
chr14:104009097-104009329	-1.167266646	3.91E-05	0.000394356
chr2:455045-455436	-2.04523917	4.07E-05	0.000408519
chr7:129419876-129420343	1.646429692	4.19E-05	0.000419651
chr18:8801229-8801479	2.692379396	4.20E-05	0.000419794
chr6:170482866-170483129	-1.387526456	4.43E-05	0.000441922
chr4:161240057-161240222	6.228265689	4.54E-05	0.000451015
chr7:75923846-75924306	1.74397592	4.54E-05	0.000451015
chr6:168778167-168778509	-1.626462241	4.59E-05	0.000454687
chr20:5466179-5466313	-1.22977039	4.60E-05	0.000454687
chr6:148358652-148358995	-2.764463502	4.65E-05	0.000459387
chr10:179287-179666	1.06417588	4.67E-05	0.00046017
chrX:1479744-1480128	-1.201790095	4.72E-05	0.00046414
chr21:47438635-47438925	-1.694789864	4.73E-05	0.00046414
chr10:9042425-9042760	4.489117962	5.06E-05	0.000495074
chr10:5590507-5590769	4.101948216	5.16E-05	0.000502978
chr20:48900220-48901229	-1.458584131	5.16E-05	0.000502978
chr16:88448195-88448445	1.70699652	5.21E-05	0.000506804
chr5:2719879-2719902	-2.125970112	5.27E-05	0.000510899
chr1:856539-856757	2.103405254	5.37E-05	0.000518779
chr6:166765505-166765751	-1.095909064	5.41E-05	0.000521678
chr20:1793760-1794139	-2.212501579	5.42E-05	0.000521678
chr20:39339297-39339534	-2.476463389	5.54E-05	0.000532776
chr7:22444276-22444586	-1.983173265	5.66E-05	0.000542714
chr8:2740285-2740400	-1.786505957	5.88E-05	0.000563065
chr14:105265888-105266206	1.311114665	6.06E-05	0.000579402
chr9:140487255-140487495	1.527399731	6.23E-05	0.00059449
chr3:195908745-195909032	-1.239495749	6.41E-05	0.00061121
chr11:2031573-2031928	-2.111410072	6.65E-05	0.000632672
chr2:237685373-237686074	-1.435030886	6.78E-05	0.000643385
chr15:96630507-96630843	-1.529323669	6.85E-05	0.000649014
chr6:138265633-138265773	2.95363558	6.87E-05	0.000649627
chr10:135071993-135072118	1.147170971	6.89E-05	0.000650515
chr7:158500449-158500649	1.017191178	6.93E-05	0.000653418
chr9:13084176-13084414	3.176745271	7.14E-05	0.000671809
chr7:104612836-104613032	-1.37859634	7.20E-05	0.000674734
chr8:29948448-29949236	-1.638728151	7.20E-05	0.000674734
chr10:17652629-17652974	-1.542896554	7.25E-05	0.000677435
chr22:46944783-46944886	2.322565408	7.45E-05	0.000693705
chr4:683740-684022	1.344854852	7.51E-05	0.000698941
chr2:237885369-237885886	-1.664700231	7.53E-05	0.000699075
chr1:1173386-1173736	2.535689365	7.59E-05	0.000703452
chr14:95060330-95060702	1.788888944	7.66E-05	0.00070838
chr5:159419234-159419398	-1.058192461	7.70E-05	0.000711559
chr8:1693210-1693378	1.439501091	7.76E-05	0.000715552
chr18:74277589-74278024	-1.411361055	7.84E-05	0.000721439
chr12:13376138-13376415	-1.75537755	8.09E-05	0.000741466
chr9:132168772-132168919	2.600212943	8.18E-05	0.000746318
chr5:173391394-173391777	2.082964147	8.35E-05	0.000761242
chr12:53368339-53368600	3.018251361	8.40E-05	0.000764359
chr22:43076677-43076928	-1.108728205	8.57E-05	0.00077839
chr3:197033346-197033465	1.611073474	8.66E-05	0.000784941
chr10:8897116-8897206	4.02796256	8.95E-05	0.000809295
chr17:7236036-7236269	-1.113293575	9.07E-05	0.000818835
chr4:187762182-187762435	-1.329575134	9.23E-05	0.000831133
chr1:16508402-16508642	-1.516117292	9.56E-05	0.000856407
chr10:9076423-9076646	5.030597797	9.57E-05	0.000856407
chr20:17876337-17876490	-2.291913392	9.77E-05	0.000872076
chr16:3031604-3031823	1.372386733	9.78E-05	0.000872076
chr8:119808728-119809168	1.946367808	9.81E-05	0.000872076
chr16:50554457-50554868	3.52976091	9.82E-05	0.000872076
chr15:100456302-100456505	-1.106128466	9.84E-05	0.000872076
chr6:109035823-109035995	-1.124636938	9.86E-05	0.000872076
chr8:144820199-144820570	1.014039122	9.93E-05	0.000877244
chr1:12600525-12600853	-1.762714525	0.000100471	0.000884565
chr11:117882756-117883280	-2.36646334	0.000100829	0.000886286
chr21:44760713-44760913	2.746499454	0.00010381	0.000911019
chr17:4812526-4812616	-1.823473486	0.0001043	0.000913842
chr3:141173878-141174028	1.214558936	0.000104964	0.000918179
chr1:248894360-248894532	2.967047095	0.000105672	0.000922894
chr10:8898873-8899238	5.043622718	0.000107923	0.000939539
chr7:17094571-17094955	1.222029631	0.00010842	0.00094096
chr8:82263227-82263471	-2.15978226	0.000108433	0.00094096
chr4:124410194-124410374	-2.842214648	0.000109053	0.000944833
chr11:2008416-2008795	-2.341367593	0.000112429	0.000972537
chr10:5638863-5639270	1.843490309	0.000118169	0.001019741
chr20:20347223-20347613	4.842858837	0.000121685	0.001046146
chr20:56293544-56293843	1.263860807	0.000121763	0.001046146
chr4:186495067-186495245	-2.13880457	0.0001219	0.001046146
chrX:117832529-117832854	-2.154784688	0.000122374	0.001048564
chr11:368352-368730	-1.046235651	0.000123991	0.001060751
chrX:3732525-3732707	1.353323708	0.000124909	0.001066919
chr10:8907472-8907746	4.646528483	0.000126261	0.001076779
chrX:124338810-124338926	-1.799752119	0.000131	0.001111964
chr3:194022185-194022450	1.576832476	0.000138194	0.001169382
chr16:64944348-64944657	5.006689883	0.000139503	0.001178626
chr10:29421778-29421876	2.489200437	0.000147783	0.001240871
chr19:2287726-2288039	1.215089712	0.000148178	0.001242279
chrX:3102520-3102927	2.776039661	0.000152897	0.001276091
chr16:1339188-1339523	3.526283217	0.000152915	0.001276091
chr2:239968226-239968465	-1.631386662	0.000156067	0.001300398
chr14:43420114-43420297	3.686065864	0.000159388	0.001324013
chr6:169314330-169314429	2.868706256	0.000159638	0.001324069
chr10:38202647-38203041	-2.359681088	0.000161305	0.001333827
chr14:103672309-103672597	1.271475283	0.000162108	0.001338438
chr22:35529944-35530291	7.036811754	0.000164444	0.00135362
chr2:393939-394227	-1.905093345	0.000166162	0.001365688
chr15:100452291-100452658	-2.595950294	0.00016656	0.001366896
chr20:58957250-58957289	-1.328340006	0.000166883	0.001367486
chr6:151178145-151178545	-1.089769316	0.000175791	0.001436154
chr12:53288883-53289427	-2.435139099	0.000177891	0.001448962
chr9:133776271-133776620	2.644286489	0.000178654	0.001452997
chr6:138022263-138022940	1.734139202	0.000179514	0.001456762
chr12:833741-833842	-2.213189687	0.000179652	0.001456762
chr16:1347371-1347380	2.627777925	0.000183385	0.001484816
chr4:169992046-169992220	1.950164384	0.000183822	0.001485244
chr2:242485030-242485360	-2.246577884	0.000183984	0.001485244
chr4:185770455-185770749	-1.960026159	0.000194735	0.001560462
chr4:175148409-175148685	-1.183455423	0.000195051	0.001560691
chrX:133320992-133321049	6.068297574	0.000196297	0.001567908
chr10:8088862-8088888	3.728381257	0.000196817	0.001567908
chr2:238052381-238052681	-1.339495966	0.000199226	0.001584779
chr18:51787123-51787305	-1.236351167	0.000200324	0.001591185
chr2:237881431-237881780	-2.425685079	0.00020175	0.001595497
chr3:187011848-187012020	-2.304904487	0.000201937	0.001595497
chr7:90161-90450	-2.116259291	0.00020204	0.001595497
chr22:48883958-48884244	3.634228938	0.000204127	0.001607317
chr4:78977065-78977655	-1.115948812	0.000206601	0.001624444
chr11:121915938-121916278	-1.642419266	0.000208242	0.001632631
chr7:38282478-38282707	-1.040336989	0.00020995	0.001643652
chr5:964858-965249	1.53362127	0.000213219	0.001666843
chr1:8194345-8194402	-1.907623454	0.000224271	0.001750731
chr6:170491997-170492052	-1.527113397	0.000224768	0.001752093
chr20:1873360-1873375	-1.863762223	0.000226354	0.001759716
chr20:43869504-43869693	-1.272642041	0.000227097	0.001762673
chr4:184270914-184271169	1.409747138	0.000233877	0.001810132
chr1:229388898-229389111	-1.262876602	0.000235453	0.001817163
chr8:117000021-117000603	1.661825901	0.000238146	0.001832748
chr4:85420434-85420908	2.178732277	0.000240126	0.001845377
chr21:44831131-44831382	2.145829467	0.000242632	0.00185938
chr8:96129740-96130058	1.658529149	0.000248006	0.001895225
chr12:26268989-26269114	-2.112025261	0.000254495	0.001939365
chr5:14142332-14142650	1.327750639	0.000255846	0.001946932
chr1:229333028-229333175	-1.81263395	0.000262732	0.001993755
chr2:241373489-241373922	-1.918929938	0.000263137	0.001994053
chr9:132189846-132190422	-2.333387135	0.000265595	0.002009876
chr1:10245595-10245867	-1.703037868	0.000267962	0.002024973
chr10:44363607-44363971	-1.375918784	0.000270545	0.002041661
chr6:169475360-169475647	-1.547670451	0.000272263	0.002051774
chr11:10940363-10940655	-1.42252979	0.00027493	0.002069013
chr2:289560-289860	-2.428179362	0.000277525	0.002085651
chr8:128911546-128911899	1.124266773	0.000279075	0.002094412
chr8:101506755-101507113	1.527596787	0.000279899	0.002097698
chr6:148443958-148444368	-2.781973031	0.000285017	0.002133118
chr7:130552122-130552429	-1.240157669	0.000287453	0.002148393
chr8:101512336-101512720	1.541124446	0.000289609	0.002161537
chr10:5590959-5591270	1.046512471	0.000299733	0.00222612
chr16:55365064-55365162	-1.722848325	0.000299898	0.00222612
chr14:92020221-92020609	1.334401241	0.000306719	0.002270555
chr6:387336-387726	-1.907770852	0.000308933	0.002283836
chr10:9052186-9052462	3.715347658	0.000311298	0.002295086
chr9:140134697-140134985	1.089789173	0.000317064	0.00233128
chr8:124678761-124678897	1.860023089	0.000321236	0.002355949
chr12:13229599-13229845	1.273251844	0.00033176	0.002429484
chr9:120522424-120523171	-1.020957187	0.000332969	0.002435063
chr20:42286061-42286420	2.472891222	0.000339236	0.002477563
chr7:100812004-100812607	3.606890288	0.000342305	0.002496627
chr10:3856317-3856712	2.829258687	0.000356466	0.002596431
chr9:139538017-139538160	-1.874592192	0.000358698	0.0026079
chr21:46172768-46173172	3.668092606	0.000367928	0.002665638
chr6:143286973-143287055	-1.37211758	0.0003912	0.002826719
chr5:53969444-53970118	-1.302929932	0.000402115	0.002893839
chr9:139737773-139737949	1.076935184	0.000402617	0.002893839
chr8:101450289-101450675	1.830383182	0.000405002	0.002907146
chr5:54197279-54197516	3.45631416	0.000406155	0.002907751
chr17:4552128-4552263	1.750939161	0.000409712	0.002929356
chr11:35052236-35052689	1.238010973	0.000411647	0.002939333
chr6:6811454-6812228	1.50594993	0.000413269	0.002943837
chr8:102478937-102479163	1.272667248	0.00041336	0.002943837
chr4:114369024-114369155	-1.157606436	0.000416504	0.002962349
chr14:38755298-38755650	-1.969946092	0.000426474	0.0030293
chr14:27998275-27998515	-3.459273307	0.000427522	0.00303279
chrX:139855409-139855570	-1.121812676	0.000431639	0.003056922
chr16:11300663-11300859	-1.154675614	0.000432048	0.003056922
chr8:144328155-144328364	-2.047174808	0.000434342	0.003069164
chr9:2490043-2490145	-1.431728724	0.000439109	0.003098822
chr16:69506405-69506529	-1.438593201	0.000445057	0.003136729
chr22:30608541-30609106	-1.608895919	0.000453229	0.003190193
chr9:118358577-118359027	1.671061546	0.000457764	0.003217954
chr21:44856189-44856512	1.013004856	0.00046076	0.003233221
chr4:7966281-7966672	-1.071635741	0.000461125	0.003233221
chr12:9797730-9798098	1.948312497	0.000467934	0.003276744
chr4:141164479-141164682	-1.33630546	0.000470386	0.003289681
chr8:117049380-117049760	1.749697912	0.000483892	0.003379792
chr6:14889640-14889747	3.328531725	0.000486729	0.003393279
chr5:1930136-1931342	-1.103775616	0.000487071	0.003393279
chr2:235399833-235400404	-1.256415151	0.000491655	0.003418498
chr8:61816883-61817210	2.859828599	0.000491947	0.003418498
chr10:8915965-8916215	5.552403292	0.000507403	0.003521404
chr21:45627966-45628150	1.309001812	0.000509368	0.003530537
chr16:3013245-3013631	2.598987308	0.00051847	0.003589051
chrX:117832906-117833107	-1.795069723	0.000519504	0.003591638
chr6:118759105-118759218	-1.825710702	0.000523477	0.003614519
chr19:2494705-2495117	1.082862845	0.000529889	0.003649527
chr22:30678606-30678993	-1.080929365	0.000532029	0.003659632
chr1:19283819-19283997	-1.835857707	0.000543767	0.003735654
chr1:229229415-229229758	-1.982282284	0.000545175	0.003740601
chr14:95239496-95239653	1.213046128	0.000548884	0.003761304
chr5:54897039-54897427	-1.976632861	0.000553516	0.003783516
chr16:4818680-4818913	1.427664338	0.000569048	0.003884805
chr21:44832284-44832425	1.68190489	0.000573362	0.003909354
chr20:1790289-1790734	-1.607214479	0.000574901	0.003914938
chr22:42345988-42346366	1.713007927	0.000577184	0.003925572
chr6:170338493-170338711	-1.879086395	0.000580254	0.003938616
chr14:38542945-38543074	2.344566649	0.000593922	0.004014323
chr8:128944008-128944415	2.383122789	0.000595474	0.00401982
chr6:5994378-5994644	-1.015640878	0.000598834	0.004032494
chr11:123951200-123951810	-1.516864915	0.000601358	0.004043531
chr6:138023530-138023872	2.259210171	0.000606016	0.004065762
chr6:142698366-142698689	1.275324827	0.000614617	0.004113324
chr12:47701468-47701752	1.310236888	0.000625131	0.004178546
chr9:132171147-132171349	2.773107476	0.000637609	0.004251511
chr20:56592800-56593208	1.209142585	0.000647651	0.004313178
chr4:84872849-84873141	6.1484209	0.000671074	0.004458258
chr2:237784498-237784842	2.994588935	0.000678282	0.004495956
chr14:95981456-95981771	-1.796777442	0.000678401	0.004495956
chr1:8195042-8195246	-1.428506761	0.00068897	0.004554071
chr20:1789800-1790010	-1.443227365	0.000694931	0.004583178
chr7:38354761-38355072	-1.2237561	0.000716658	0.004715592
chr7:1546091-1546367	1.128786053	0.000716742	0.004715592
chr6:168789584-168789819	1.070831228	0.000718958	0.004724455
chr10:6162113-6162335	-1.411770913	0.000723135	0.004746172
chr14:104601589-104601707	-1.002836015	0.000728653	0.004776631
chr6:106440406-106440671	2.029943082	0.000734318	0.004807972
chr4:185234268-185234603	1.587959152	0.000738763	0.004828999
chr16:57717053-57717380	-1.375560247	0.000739305	0.004828999
chr9:101973951-101974336	-1.046024703	0.000751912	0.004899587
chr20:58885670-58885801	-1.248806106	0.000761026	0.004947126
chr2:237884627-237885186	-1.573728088	0.000772554	0.005004124
chr9:134114047-134114338	-1.347672686	0.000774573	0.005011241
chr10:31101079-31101298	-2.706543053	0.00077982	0.005039194
chrX:149371061-149371452	3.370082522	0.000782952	0.005044474
chr16:10688488-10688836	2.912808935	0.000783194	0.005044474
chr20:43321614-43322020	1.453974916	0.000800431	0.005135787
chr22:36855477-36855678	-1.358219449	0.000819412	0.005245198
chr9:139513037-139513494	-1.096874932	0.000822144	0.005256507
chr10:8931286-8931468	6.629113089	0.000824264	0.005263872
chr4:40050527-40050740	1.275615692	0.000828804	0.005274298
chr7:75926781-75926853	1.745933438	0.000831275	0.005283839
chr3:193822220-193822536	3.410687557	0.000848916	0.005389676
chr20:48901354-48901524	-1.709910114	0.000856915	0.005427795
chr21:44758836-44759116	2.256094019	0.000866261	0.005480611
chr20:52514730-52515023	1.82270017	0.000877848	0.005543492
chr4:185235186-185235665	1.927841487	0.000879845	0.005543492
chr22:46957537-46957704	3.161261639	0.000880275	0.005543492
chr14:44249775-44250158	6.168051083	0.000883419	0.005556697
chr3:195906363-195907075	-1.026570882	0.000891223	0.005586573
chr14:24503912-24503926	1.789295695	0.000903327	0.00565593
chr6:6885637-6886125	-1.138994795	0.000923424	0.005768485
chr11:1772582-1772778	1.308716529	0.000937479	0.005849565
chr11:2212480-2212615	-2.709890206	0.000941369	0.005867111
chr20:48367008-48367399	-2.2468995	0.000949421	0.005903773
chr6:12250724-12250902	-1.00717579	0.00098991	0.006148513
chr6:157041058-157041538	-2.128625603	0.000996867	0.006177897
chr18:9866165-9866386	4.390723827	0.000996911	0.006177897
chr6:104972844-104972913	-1.88412383	0.001005612	0.006219354
chr20:60944265-60944566	2.001075354	0.001019111	0.006293968
chr7:95030354-95030375	-1.1127242	0.001034858	0.006383969
chr10:22039558-22039808	1.976113937	0.001054909	0.006492939
chr7:44136998-44137292	3.0663164	0.001063617	0.006539141
chr1:12599928-12600179	-1.394210281	0.001070961	0.006576859
chr1:234862200-234862535	1.118846415	0.001074428	0.006590715
chr8:29946002-29946367	-1.20074844	0.00111634	0.006840094
chr9:132369856-132370376	1.719459916	0.00111998	0.006854681
chr21:44831891-44832268	1.418682566	0.001122032	0.006859524
chr20:49346260-49347200	2.216553803	0.001139923	0.006961078
chr20:61317452-61317806	-1.603844653	0.001141505	0.006962922
chr21:17444568-17444796	-1.595967923	0.001151782	0.007009896
chr5:2694499-2694872	3.628436089	0.001161837	0.00706319
chr6:159484182-159484547	1.951272891	0.00116653	0.007083808
chr1:26123435-26123824	-1.619511707	0.001178742	0.007149983
chr6:148564785-148565120	-1.368583882	0.001187974	0.007181961
chr12:17006116-17006369	-1.465269311	0.00119499	0.007216358
chr20:52355086-52355238	1.362751173	0.001207864	0.007277949
chr10:44373947-44374132	-1.474783009	0.001216779	0.007315463
chr16:89126677-89126907	2.494251469	0.001219593	0.007324286
chr16:85496879-85497321	2.065423254	0.001221857	0.007329797
chr7:89354-89662	-2.153323994	0.001261504	0.007550984
chr8:75605656-75605872	-2.028602472	0.001274193	0.007618553
chr9:113021820-113022154	2.363436392	0.001276449	0.007623664
chr16:88857121-88857244	1.871982228	0.00127835	0.007626648
chr7:139930863-139931473	1.184920037	0.001288494	0.007670347
chr22:51060079-51060266	-1.171547118	0.001305412	0.007762565
chr20:61748235-61748616	4.931718682	0.001310579	0.007784781
chr8:101427912-101428321	2.891570638	0.001316856	0.007813537
chr5:6828067-6828336	2.050274161	0.001322099	0.007830416
chr20:31099798-31099830	1.965442934	0.001324846	0.00783531
chr22:45664918-45665214	-1.423459503	0.001350559	0.007978707
chr8:144272609-144273113	-1.555844332	0.001352191	0.007979689
chr6:14658378-14658636	2.521122486	0.001362929	0.00803434
chr14:106087956-106088249	5.405355284	0.001374089	0.008082612
chr15:98957223-98957617	-1.384909213	0.001379395	0.008097693
chr7:156724801-156725029	2.572006214	0.0013822	0.008104039
chr11:1773349-1773482	1.673460555	0.001386206	0.00811878
chr8:61819241-61819611	2.67459661	0.001388218	0.00812182
chr8:61816296-61816572	2.260905871	0.001396485	0.008158466
chr9:139541579-139541677	-1.629484926	0.00139748	0.008158466
chr22:35745535-35745614	-1.55101479	0.00140289	0.008181267
chr22:39363763-39364255	-1.142496213	0.001423638	0.008293379
chr16:56641054-56641530	-1.725661044	0.001430774	0.008326031
chr8:29419877-29419995	3.568303861	0.00143734	0.008355307
chr20:34197138-34197351	1.063686011	0.001439428	0.008358513
chr11:117881559-117881948	-1.914572946	0.001447427	0.008390206
chr8:49321087-49321473	6.323046418	0.00144797	0.008390206
chr9:126102323-126102736	1.832304859	0.001452686	0.008408581
chr6:159513696-159514062	2.309620636	0.001465607	0.008474353
chr16:86963366-86964014	-1.655603111	0.0014732	0.008509213
chr11:118740767-118741727	1.536069587	0.001486884	0.008562556
chr2:238053401-238053581	-1.26783614	0.001487156	0.008562556
chr5:957591-958302	1.599330571	0.001491782	0.008580115
chr7:36885113-36885488	-1.339071848	0.001497841	0.008605861
chr7:25896245-25896461	-3.655791604	0.001509896	0.008647729
chr5:172198749-172199959	-1.026933892	0.00153303	0.008755203
chr1:993498-993878	2.757893556	0.001538547	0.008764635
chr20:20188538-20188860	1.533634664	0.001539973	0.008764635
chr10:4713647-4713873	-1.542342996	0.001541853	0.008766166
chr21:11128400-11128724	-2.422278528	0.001592296	0.009038684
chr14:91002583-91003004	-1.638737965	0.001597472	0.009054003
chr3:194041526-194041906	1.782645924	0.001609631	0.009103954
chr10:45375087-45375420	-1.242237696	0.0016252	0.009173828
chr8:21999982-22000221	3.19286481	0.001633416	0.009209758
chr3:141204930-141205324	1.186201223	0.001643128	0.009254928
chr21:44765825-44766380	2.73037609	0.001646105	0.009262104
chr7:152330696-152330805	2.393501929	0.001657013	0.009299534
chr1:235188116-235188420	1.716397497	0.001658852	0.009299534
chr6:130151547-130151808	1.269019961	0.001660149	0.009299534
chr1:229339200-229339557	-1.997538113	0.001661899	0.009299534
chr20:46704624-46705027	5.643479267	0.001663012	0.009299534
chr4:109281025-109281423	3.486880424	0.001675888	0.009361919
chr14:95981007-95981377	-1.681791547	0.001693332	0.00943998
chr8:61910193-61910315	1.87428444	0.00170361	0.009477854
chr1:235097868-235098070	-1.044562813	0.001752506	0.009729983
chr9:751014-751390	-1.321988793	0.001800817	0.009957568
chr3:182727471-182727797	-1.023764259	0.001813305	0.010016441
chr9:114938880-114939057	2.91264859	0.001819242	0.01002887
chr8:54315229-54315357	-1.590878706	0.001837257	0.010117933
chr9:123477335-123478104	1.481501799	0.001847446	0.01015661
chr19:7402747-7403030	-1.21802102	0.001848014	0.01015661
chr8:134156406-134156683	2.870279005	0.001866841	0.010239397
chr14:22855094-22855648	2.180107419	0.001870846	0.010251033
chr20:46067997-46068157	-1.976157051	0.001877564	0.010257356
chr5:173846140-173846257	1.790192827	0.001877656	0.010257356
chr11:114224881-114225192	-1.420898438	0.001880781	0.010264124
chr14:38057887-38058022	1.202841497	0.001888723	0.010297136
chr16:66170755-66170866	2.666619845	0.001907877	0.01039115
chr21:44768943-44769386	2.220509121	0.001923243	0.010464366
chr8:117175146-117175377	2.544192908	0.001926926	0.010473929
chr14:105148231-105148612	1.757733507	0.001929811	0.010479143
chr16:87980577-87980839	1.953940118	0.001936249	0.01050147
chr16:10710369-10710537	2.212376138	0.001937783	0.01050147
chr11:91957038-91957557	-2.33520581	0.00194921	0.010536362
chr6:5991749-5992069	-1.320036827	0.001962364	0.010592481
chr7:17108869-17109083	1.308851542	0.001965059	0.010596518
chr8:72880263-72880309	-1.54125201	0.001974182	0.010632357
chr16:85497347-85497685	2.535519316	0.001975614	0.010632357
chr14:20895931-20896136	-3.086673899	0.001985935	0.010677344
chr4:185204289-185204819	1.28799042	0.002009059	0.010791004
chr2:242960507-242960893	1.670522974	0.002025083	0.010866348
chr3:149960024-149960302	1.609752991	0.002050645	0.010979202
chr7:75922960-75923105	1.587451403	0.002052168	0.010979202
chr1:229326926-229327085	-1.387783159	0.002091382	0.011178006
chr12:10220622-10220778	-1.48467113	0.002107526	0.011242205
chr12:48579978-48580344	-1.964203435	0.002138651	0.01138591
chr9:118403305-118403595	3.829146363	0.002147312	0.011409692
chr10:30842081-30842302	-2.088701482	0.002153005	0.011428781
chr6:10719904-10720278	1.36325165	0.002178994	0.011544214
chr18:19926493-19926623	-1.155900815	0.002192069	0.011602185
chr5:172698519-172698848	2.860121306	0.002199717	0.011631351
chr18:61046049-61046189	-1.172244844	0.002203128	0.011638075
chr14:24163763-24164098	1.4993888	0.002208809	0.01165677
chr6:14211875-14212265	1.262698235	0.002236863	0.011770572
chr8:101476271-101476730	1.566782305	0.002251491	0.011836099
chr12:12425810-12426042	-1.179032398	0.002264253	0.0118917
chr5:173909800-173909986	2.273086843	0.002332729	0.012215955
chr14:105549558-105549976	2.704835221	0.002371175	0.012405349
chr3:172304233-172304595	1.289547091	0.002376914	0.01242343
chr1:22002610-22002786	-1.144703566	0.002421882	0.012636505
chr4:22636795-22637032	-1.494504538	0.002423296	0.012636505
chr22:50982591-50982963	1.563598191	0.002424648	0.012636505
chr11:117878914-117879095	-2.196212254	0.002450977	0.012761497
chr18:13175824-13176186	2.906468626	0.002471624	0.012856698
chr8:29526859-29527039	-1.410499383	0.002486475	0.012921597
chr6:170358465-170358648	2.900177641	0.002494499	0.012950927
chr7:64733908-64734317	2.185159924	0.002523151	0.01307473
chr4:40313713-40314128	2.889932122	0.002541004	0.013154714
chr8:65776373-65776621	-1.380069504	0.002555661	0.013213548
chr12:24858416-24859124	1.836955048	0.00256351	0.013233451
chr17:32253-32376	-1.66216286	0.002602563	0.01340961
chr8:70310732-70311124	1.126208246	0.002611236	0.013441568
chr14:24973784-24974156	-1.126102389	0.00262096	0.013466142
chr1:12210430-12211346	-1.002193011	0.002666459	0.013674082
chr9:132236208-132236504	1.690911419	0.002711759	0.013876137
chr5:177607687-177607881	3.783305176	0.00271351	0.013876137
chr12:12556548-12557081	3.148745578	0.002732914	0.013951801
chr6:14542467-14542693	3.013020646	0.002733435	0.013951801
chr12:25539082-25539407	1.187165515	0.002744838	0.013996875
chr16:87981759-87982021	1.829172112	0.002789968	0.014213686
chr4:114366444-114366711	-1.583241211	0.002803009	0.014266767
chr8:115707569-115707650	4.443762072	0.002823691	0.014358598
chr6:170468202-170468424	1.97416691	0.002843596	0.014446318
chr10:3510310-3510716	-1.155189283	0.002847434	0.01445232
chrX:149380174-149380494	2.100775491	0.002851345	0.014458686
chr8:126451967-126452238	-1.242265845	0.002869551	0.014515697
chr1:228651177-228651630	3.466612969	0.002870592	0.014515697
chr4:66107153-66107671	3.570300772	0.00290917	0.014631024
chr1:2505035-2505361	1.461330413	0.002909533	0.014631024
chr7:104585458-104586124	-1.094395428	0.002937538	0.014758212
chr20:60803093-60803442	3.539265198	0.002943475	0.0147744
chr6:169316937-169317104	2.416998852	0.002950156	0.014794285
chr7:33766388-33766503	-1.566751789	0.003002314	0.01502814
chr16:73159100-73159118	1.506496689	0.003053719	0.015269605
