enhancer	FC	p	diff_fdr
chr20:16555525-16555956	1.365299369	0.010346034	0.04029547
chr20:24802781-24802981	1.880692294	0.010385688	0.040398866
chr7:129460659-129460706	3.801168979	0.010387431	0.040398866
chr6:137988139-137988331	4.492362459	0.010590113	0.041142777
chr11:9639557-9639822	0.491508323	0.010594168	0.041142777
chr22:41079087-41079368	0.456812188	0.010601392	0.041142777
chr9:211500-211823	0.561504615	0.010718572	0.041567892
chr20:36042310-36042952	0.393949437	0.01075009	0.041660426
chr14:96592738-96593055	2.46728545	0.010762475	0.041678738
chr5:54893100-54893403	0.27820944	0.010798848	0.041778859
chr6:111873587-111873978	0.661874708	0.010809388	0.041778859
chr10:8077253-8077826	2.558746407	0.010811364	0.041778859
chr9:105966405-105966781	1.173236033	0.010830476	0.041823011
chr8:6518047-6518428	0.553361941	0.01083937	0.041827666
chr16:14050567-14050869	0.444184526	0.01089619	0.04201713
chr21:44764269-44764611	6.974542106	0.01090973	0.042022662
chr1:226320775-226321123	1.614622746	0.010913071	0.042022662
chr1:235096560-235096855	0.563310957	0.010973056	0.042223761
chr16:3628962-3629267	1.59040855	0.01102687	0.042400847
chr2:238391204-238391436	2.334061839	0.011144444	0.042822683
chrX:149084401-149084780	0.698076278	0.011154319	0.042830381
chr22:47579960-47580142	0.60409724	0.011165716	0.042843909
chr20:9480861-9480978	0.491995848	0.011188678	0.042901759
chr16:57703353-57703558	0.351394825	0.011210766	0.042956183
chr6:14211061-14211714	2.460225909	0.011269372	0.043150353
chr7:17184032-17184264	0.762832312	0.011299924	0.043236911
chr3:176439687-176439857	7.540704124	0.01131833	0.043276902
chr7:47302239-47302434	2.859611824	0.011358391	0.043383768
chr6:3160462-3160701	0.510741963	0.011362226	0.043383768
chr8:144360422-144361034	2.478921097	0.011382801	0.043431852
chr7:19157963-19158297	0.578974104	0.011417284	0.043532895
chr20:1801326-1801756	0.502058729	0.011445537	0.043557536
chr20:52551883-52552311	5.150984118	0.011445656	0.043557536
chr20:31126982-31127359	2.838965633	0.011447763	0.043557536
chr22:44856761-44856923	0.362562703	0.011478859	0.043645335
chr7:157094771-157094925	2.225877524	0.011534672	0.043826922
chr9:123661924-123662231	1.353566761	0.011603344	0.044057079
chr6:170589556-170589600	4.006107085	0.011617909	0.044081619
chr6:147234581-147234754	8.137167703	0.011681498	0.044292006
chr10:135092117-135092276	0.759427838	0.011825322	0.044776514
chr21:46266361-46266565	2.225729145	0.011829223	0.044776514
chr14:35802936-35803364	3.140037813	0.011833969	0.044776514
chr3:187467867-187468249	0.214175192	0.011955271	0.045204052
chr10:8909152-8909331	60.84085486	0.011968789	0.045223737
chr3:142844875-142844897	0.32649912	0.012102341	0.045670238
chr1:8187563-8187834	0.41853972	0.012103746	0.045670238
chr7:391299-391474	0.482381647	0.01212086	0.045703119
chr8:90942619-90942853	1.392395237	0.012161662	0.04582521
chr8:61841765-61842074	2.955045044	0.012189474	0.045881913
chr4:30718904-30719447	2.274820014	0.012193576	0.045881913
chr12:50324888-50325278	0.435847922	0.012208456	0.045906156
chr2:242954051-242954322	3.206220207	0.012235963	0.045977816
chr9:102006739-102006945	0.55433613	0.01225058	0.046000971
chr6:143281299-143281549	0.581264054	0.012294079	0.046130177
chr21:28219280-28219541	0.636545128	0.012302422	0.046130177
chr12:54072437-54072838	0.446771958	0.012310424	0.046130177
chr11:1523761-1524132	2.95027659	0.012361477	0.046289604
chr8:102388506-102388737	5.446659235	0.012386605	0.046351802
chr22:42829562-42829963	2.958017573	0.012434899	0.046500538
chr1:27021406-27021810	1.228135378	0.01245486	0.046543198
chr1:1060905-1061095	4.473098861	0.01247024	0.046568686
chr12:10547253-10547637	0.66488767	0.012511254	0.046689802
chr20:3159596-3159937	0.825817814	0.012521373	0.046695537
chr16:69761641-69762033	1.673220633	0.012556669	0.046795094
chr10:3845250-3845852	4.05097881	0.01259227	0.046845542
chr4:129389693-129389923	0.649311877	0.012595359	0.046845542
chr10:9115735-9116358	25.58962318	0.012596035	0.046845542
chr20:3692087-3692444	0.582603535	0.01270815	0.047203875
chr5:44405989-44406097	0.436974347	0.012709737	0.047203875
chr21:44761192-44761567	3.5234373	0.012743203	0.047295884
chr12:8179132-8179551	0.692291013	0.012811284	0.047516152
chr6:138045007-138045495	4.900168254	0.012838293	0.047583892
chr20:48913708-48913808	0.681036246	0.012888435	0.04773722
chr7:156735476-156735625	4.509595526	0.012904147	0.0477629
chr3:141582401-141582771	1.408924271	0.012928557	0.047789677
chr22:39784774-39784929	0.531715759	0.012933387	0.047789677
chr4:174337339-174338040	3.19553882	0.012937731	0.047789677
chr14:105511213-105511346	2.922785143	0.012962486	0.047848633
chr4:185201876-185202105	2.375121006	0.013015473	0.048011652
chr8:144443049-144443270	4.840024938	0.013063861	0.048157497
chr12:8123968-8124323	6.433736157	0.013131848	0.048375345
chr19:6674780-6675150	0.586995802	0.013146853	0.048397854
chr20:46417679-46418052	2.791732344	0.013168095	0.048443276
chr21:46185657-46185775	14.45234881	0.013232102	0.048645856
chrX:57930677-57931162	0.84030448	0.013305709	0.048883433
chr2:232530920-232531416	2.522422084	0.013317342	0.048893157
chr10:3797195-3797502	2.834113115	0.013326431	0.048893532
chr18:3305401-3305555	13.26454746	0.013390139	0.049059689
chr11:2234751-2234909	45.92941413	0.013403589	0.049059689
chrX:74266683-74266817	0.763027861	0.013405586	0.049059689
chr1:8263853-8264184	2.531453536	0.013407785	0.049059689
chr22:36858236-36858440	0.628316123	0.013423859	0.049085494
chr4:1865990-1866293	5.04023836	0.013441612	0.049096379
chr22:49816245-49816581	0.449836739	0.013444882	0.049096379
chr9:6680895-6681975	1.539639906	0.013462719	0.049099049
chr1:228688608-228688902	0.637340168	0.013463661	0.049099049
chr9:100669809-100670115	0.767241766	0.013551811	0.049387411
chr22:42772096-42772265	0.716601831	0.01358954	0.04949176
chr11:47208524-47208884	1.460102244	0.013601031	0.049500474
chr8:125212215-125212575	11.25732074	0.013693284	0.049802914
chr7:104584670-104585063	0.445992251	0.013719782	0.049865955
chr22:48185959-48186142	12.35679169	0.013767641	0.049990943
chr14:25039939-25040483	0.666700222	0.013772546	0.049990943
chr7:100809834-100810470	6.075161267	0.013848395	0.050232746
chr22:41128851-41129054	2.918992906	0.013925759	0.050479716
chr16:8041589-8041898	6.192389702	0.013949811	0.050533236
chr3:141482175-141482451	3.142218104	0.014013722	0.05073098
chr6:114176108-114176553	0.428269707	0.014023315	0.050731951
chr6:14744083-14744613	3.522597137	0.014037045	0.050747881
chr6:163814515-163814888	0.496573544	0.014102476	0.050950577
chr3:177472457-177472684	5.866912369	0.014156871	0.051113161
chr20:49032230-49032497	0.242738638	0.014201212	0.051239254
chr11:113552333-113552865	0.566692893	0.01422164	0.051278954
chrX:73250242-73250558	0.76550476	0.014252267	0.051355356
chr15:99975346-99975780	4.376968345	0.014294549	0.051473621
chr2:228270733-228271155	3.1668554	0.014325861	0.051552255
chr16:58159860-58159971	0.576625916	0.014461857	0.051983331
chr20:5079708-5080023	0.701040305	0.014470778	0.051983331
chr7:2657383-2657705	5.550139645	0.014474315	0.051983331
chr3:149966255-149966555	3.57275244	0.014532209	0.052156828
chr6:138495604-138495926	2.051227702	0.01459922	0.052362792
chr1:27289282-27289295	1.699876856	0.014613223	0.052378489
chr9:130681632-130682091	1.450410371	0.014661023	0.052515226
chr7:150676721-150676998	4.017078108	0.014700669	0.052622593
chr22:46035019-46035329	0.412698741	0.014725405	0.05267648
chr1:226298813-226299157	1.68775552	0.014742353	0.052702461
chr16:4233647-4234082	1.735713793	0.01476972	0.052765626
chr6:163826910-163827186	0.364030009	0.014891605	0.053166156
chr14:91697855-91698086	0.761799308	0.014947914	0.053332198
chr9:5879621-5879741	0.703347216	0.01504636	0.053648261
chr4:185186820-185187542	0.654092806	0.015065039	0.053671229
chr10:5576341-5576485	0.54367859	0.015080312	0.053671229
chr12:49370069-49370445	0.401037544	0.015082395	0.053671229
chr3:194294469-194295159	0.391708277	0.015140352	0.053803271
chr22:45000105-45000487	0.445473439	0.015148237	0.053803271
chr10:8899367-8899664	13.9175458	0.015149166	0.053803271
chr5:1562820-1563021	1.843971237	0.015184544	0.053893739
chr10:6298563-6298686	0.577044312	0.015200612	0.053915599
chr22:50976592-50977006	1.34467274	0.015268334	0.054120525
chr14:105493379-105493756	1.568941802	0.015445891	0.054660386
chr8:117069192-117069529	3.083060744	0.015446328	0.054660386
chr4:128894970-128895372	0.688620925	0.015450776	0.054660386
chr6:12328741-12329205	0.339218232	0.015468417	0.054687236
chr16:30645556-30645885	1.338385437	0.015494136	0.054742595
chr7:30272091-30272372	0.603834332	0.015505936	0.054748732
chr4:118953861-118954102	2.602673134	0.015551007	0.054871829
chr3:177076157-177076922	9.860046359	0.015560969	0.054871829
chr7:142795854-142796255	4.945098191	0.015608496	0.055003775
chr1:235011316-235011428	2.460888407	0.015626832	0.055032747
chr10:23737770-23738059	0.156772565	0.015647781	0.055070876
chr9:118434933-118435213	2.626211804	0.01571315	0.055245821
chr7:104608110-104608364	0.470573597	0.015717797	0.055245821
chr16:66440915-66440994	0.694164196	0.015739083	0.055284925
chr20:352488-352859	5.334399378	0.015765794	0.055343021
chr11:121292319-121292487	2.782403228	0.015886625	0.055731222
chr21:44499901-44500036	0.305823724	0.01590817	0.055747082
chr11:117844226-117844440	4.434814959	0.015911637	0.055747082
chr21:11184749-11185145	14.28686234	0.015929894	0.055764302
chr8:67434763-67435122	3.166551305	0.01593705	0.055764302
chr8:58122348-58122589	13.60883427	0.01596104	0.055812352
chr5:173205115-173205307	0.373270518	0.016008234	0.055941425
chr11:117873419-117873908	0.693825982	0.016167164	0.056460551
chr12:9855016-9855380	1.78063884	0.016178029	0.056462256
chr12:49678404-49678529	0.47337801	0.016230616	0.056602447
chrX:64464605-64464940	0.329666458	0.016239004	0.056602447
chr7:45495394-45495553	6.759424643	0.016249534	0.056602891
chr21:45601467-45601803	0.628093872	0.016277765	0.056664952
chr8:104406173-104406574	1.81903862	0.016318832	0.05674439
chr7:115581-115835	0.533060459	0.016325266	0.05674439
chr18:56497255-56497434	2.445942814	0.016331872	0.05674439
chr4:153461614-153461859	4.272960213	0.016358459	0.056800496
chr8:102167003-102167377	2.717003804	0.016447634	0.05707371
chr4:190606825-190607040	0.590722178	0.016508665	0.057248978
chr20:1333009-1333271	0.749197665	0.016545808	0.057341238
chr11:12111660-12111980	2.298054872	0.016600704	0.057448498
chr8:128258299-128258698	2.169333091	0.016601709	0.057448498
chr20:54984681-54984944	1.863313687	0.016608434	0.057448498
chr4:75557908-75558335	0.23713126	0.016674014	0.057638699
chr18:77327843-77328066	6.015659863	0.016687246	0.057647812
chr4:154711358-154711691	1.52405417	0.016828775	0.058099851
chr8:101502356-101502514	4.336870846	0.016898186	0.058302491
chr20:23096926-23097715	0.509969621	0.017232129	0.059416992
chr8:68660562-68660687	7.299439537	0.017285375	0.059562842
chr1:8264458-8264788	3.077006307	0.017349538	0.059746098
chr14:35869907-35870271	0.789184065	0.017476408	0.060144932
chr6:13712805-13713056	1.629167776	0.017670786	0.060750325
chr1:247336409-247336734	1.698340042	0.017675595	0.060750325
chr22:50608010-50608409	5.381784796	0.01769462	0.060750325
chr22:50346860-50347243	1.794697258	0.01769698	0.060750325
chr6:14724933-14725069	7.47643974	0.017805155	0.061083132
chr18:77551694-77552094	3.51402541	0.017923501	0.061412548
chr4:13193944-13194185	2.150518744	0.01792375	0.061412548
chr7:48122110-48122308	0.647597627	0.017969472	0.061499578
chr8:49816123-49816479	3.458405107	0.017971757	0.061499578
chr7:138123858-138124244	2.055443254	0.018010736	0.061594228
chr2:241845496-241845803	10.59015517	0.018044541	0.061640435
chr8:40032102-40032537	0.550515342	0.018046906	0.061640435
chr6:168813720-168814071	3.036072475	0.018136298	0.061906901
chr20:36050245-36050646	0.540708436	0.018176306	0.062004566
chr16:8630607-8630973	1.555826728	0.018218101	0.0621082
chr8:131459003-131459302	0.57109541	0.018244406	0.062133233
chr10:5314439-5314551	2.609839091	0.018252252	0.062133233
chr16:4186619-4186736	3.9606013	0.018262207	0.062133233
chr6:6856813-6857789	4.645909549	0.018271122	0.062133233
chr10:22630393-22630515	2.245746193	0.018284646	0.062140387
chr6:14659204-14659944	2.370896275	0.018330867	0.062258581
chr5:3595085-3595457	0.5207324	0.018376926	0.062376079
chr12:49508076-49508435	0.482451315	0.018482384	0.06269492
chr12:11721730-11722060	0.406822215	0.018496762	0.0627046
chr22:50331571-50331948	2.053599473	0.01865925	0.063216053
chr11:3191153-3191550	0.293238014	0.018744711	0.063466069
chr16:8032889-8032980	5.756559069	0.018788098	0.063573409
chr6:139859712-139859864	3.889919887	0.018820511	0.063643505
chr20:43123975-43124199	0.788183565	0.018845931	0.063689881
chr20:52356771-52357178	2.197616823	0.018933218	0.063945151
chr5:57537303-57537570	2.658890335	0.019123616	0.064548134
chr9:749759-749963	0.411747837	0.019245452	0.064919096
chr2:238153705-238154088	0.536908929	0.019276822	0.064978496
chr7:158387429-158387829	5.061657181	0.019286946	0.064978496
chr19:383028-383243	0.456932896	0.01930001	0.064982275
chr19:2950130-2950295	1.294837622	0.01931463	0.064991281
chr14:38052089-38052429	1.903436103	0.019353413	0.065081533
chr21:46739517-46739788	0.529186685	0.019422309	0.065272874
chr16:12713340-12713716	2.212166013	0.019471172	0.065396697
chr2:238854258-238854421	5.55577392	0.019581449	0.065726505
chr7:148637842-148638122	1.996485689	0.019610717	0.065753208
chr7:157225296-157225625	2.016973605	0.019613574	0.065753208
chr8:102015928-102016078	5.697896299	0.019678404	0.065929925
chr20:40321359-40321668	2.576312341	0.019837016	0.0663938
chr9:130627836-130628198	0.537428005	0.019848593	0.0663938
chr20:1415597-1415981	0.583330129	0.019853467	0.0663938
chr12:3450642-3450947	2.001901878	0.019897092	0.066494146
chr14:96718007-96718377	1.885428662	0.019907915	0.066494146
chr18:5318474-5318779	0.579171994	0.020061176	0.066962135
chr7:156401711-156402014	3.890771512	0.020072737	0.066962135
chr7:22761943-22762469	4.487709399	0.020084948	0.066962135
chr11:103571320-103571700	0.418057279	0.020111765	0.066996391
chr2:237764752-237765407	3.644426279	0.02011985	0.066996391
chr4:75183618-75183847	3.223187494	0.020153168	0.067066291
chr12:783263-783371	0.37950182	0.020256162	0.067367835
chr6:159383408-159383511	0.64059024	0.02026954	0.067371147
chr18:74061111-74061285	2.580274797	0.020404863	0.067744674
chr16:57657206-57657412	6.35226667	0.020406822	0.067744674
chr8:41015718-41016076	0.367388315	0.020543651	0.068157321
chr21:46742697-46743154	0.63212576	0.020741756	0.068772635
chr16:85498599-85498960	5.248238011	0.020871315	0.069118111
chr16:87574851-87574952	3.774928657	0.020876366	0.069118111
chr1:235090546-235090894	0.56198926	0.020898767	0.069118111
chr1:1144376-1144549	4.526630915	0.020913388	0.069118111
chr20:55965649-55965902	4.109857162	0.020919914	0.069118111
chr14:35837875-35838216	2.681753746	0.02092217	0.069118111
chr1:1286847-1286913	2.000373324	0.020941307	0.069139352
chr1:244212276-244213430	1.449526781	0.020972097	0.069166348
chr9:140190695-140190800	1.477614699	0.020984772	0.069166348
chr2:241374162-241374480	0.320563731	0.02098762	0.069166348
chr11:9587499-9588027	0.508847006	0.021159055	0.069689117
chr8:129129719-129130040	48.80135999	0.021194854	0.069764793
chr2:235399360-235399773	0.533084076	0.021256659	0.069925924
chr3:160288141-160288350	1.403998026	0.021284465	0.069975089
chr6:12285143-12285495	0.541435061	0.021469228	0.070539897
chr4:88474539-88474761	10.40805241	0.021501144	0.070602125
chr12:30975226-30975478	0.416819997	0.021524998	0.070637825
chr11:121906863-121907080	0.537676518	0.021582356	0.070783364
chr7:85403399-85403494	3.342592662	0.021665672	0.071013808
chr1:235242792-235242999	2.775323057	0.021733447	0.071193067
chr22:46935060-46935431	1.281596268	0.021829388	0.071464319
chr22:29165082-29165344	0.581536261	0.021968784	0.071877424
chr22:36847830-36847945	0.422380627	0.022009898	0.071968662
chr18:77615182-77615571	4.793556851	0.022069671	0.072120769
chr3:177234134-177234201	136.0902231	0.022238628	0.072629278
chr6:169568038-169568505	1.432486746	0.022293455	0.072764659
chr8:133689212-133689471	7.151407471	0.022340401	0.072818228
chr3:150453151-150453509	2.78209735	0.022355839	0.072818228
chr1:235089980-235090270	0.56621498	0.02235619	0.072818228
chr7:7759003-7759285	7.260548378	0.0223634	0.072818228
chr7:134399420-134399826	3.03501773	0.022405154	0.072910551
chr1:232725638-232725888	8.827633012	0.022450899	0.072953226
chr14:23222866-23223018	3.197875454	0.022451567	0.072953226
chr4:154711839-154712367	1.891110584	0.022458492	0.072953226
chr9:135231921-135232175	1.934507966	0.022517199	0.073100285
chr8:42270426-42270603	0.647690353	0.022545731	0.07314927
chr22:20199029-20199266	2.966827592	0.022593181	0.073259535
chr18:57552932-57553277	1.857767804	0.022676468	0.073485803
chr1:228634060-228634141	3.142796127	0.022751393	0.073684721
chr8:119788546-119788868	4.130334981	0.022807796	0.073805689
chr7:43796405-43796790	2.376044223	0.022819011	0.073805689
chr21:45235037-45235392	0.497614409	0.022829438	0.073805689
chr5:173300199-173300299	0.560206097	0.022851942	0.073834569
chr2:227665859-227666449	1.368175594	0.022892099	0.073916688
chr20:40247725-40248017	1.912746348	0.022904528	0.073916688
chr3:177307615-177308089	10.49808242	0.022935185	0.073971749
chr8:86371692-86371842	1.669286185	0.02295597	0.073994924
chr20:34652590-34653055	0.659164855	0.023028483	0.074184711
chr21:44819081-44819261	3.828967405	0.023092843	0.074348024
chr20:31093631-31093822	6.101713702	0.023116167	0.074371663
chr6:151803491-151803848	2.495763304	0.023134293	0.074371663
chr9:13064041-13064558	14.20187927	0.023141192	0.074371663
chr11:1879618-1879880	0.514773518	0.023173307	0.074430911
chr6:6872803-6873162	1.757561975	0.023302343	0.074801208
chr9:758228-758480	0.467902872	0.023413601	0.075114034
chr7:129650131-129650429	0.422504706	0.023481732	0.075288217
chr4:770204-770556	5.3650314	0.023527246	0.075389721
chr16:3309129-3309539	2.724430068	0.023560896	0.075418639
chr14:95066800-95067322	3.356191761	0.023563993	0.075418639
chr16:3230630-3231003	4.722380972	0.023675799	0.075731935
chr16:10677230-10677389	1.679237268	0.02382023	0.076135971
chr1:26201699-26201757	0.459603674	0.023830097	0.076135971
chr5:6774983-6775332	2.989787616	0.023973966	0.076550673
chr7:149744537-149744792	0.63925179	0.02404938	0.076723316
chr20:46523491-46523897	14.46297964	0.024061551	0.076723316
chr3:149119420-149119639	2.803245364	0.024070336	0.076723316
chr12:28127967-28128359	0.570465184	0.02410627	0.076792865
chr3:195573980-195574341	8.864345921	0.024130243	0.076824256
chr22:46398693-46399004	2.194678941	0.024150218	0.076842886
chr2:237876867-237877033	0.447878765	0.024219601	0.077018613
chr11:1865419-1866172	0.258161712	0.024250642	0.077072281
chr14:105502754-105502781	1.496652887	0.024278976	0.077076044
chr3:156506552-156506943	1.38819576	0.024280158	0.077076044
chr19:2478921-2479315	0.355126902	0.02431806	0.07715135
chr2:232479434-232479727	2.220365736	0.024336112	0.077163629
chr14:102544859-102545271	0.470010431	0.024475978	0.077561909
chr20:36041191-36041579	0.577285073	0.024510627	0.077626496
chr16:87823236-87823449	5.182818072	0.024695956	0.078158964
chr6:170334610-170334982	0.385182627	0.024716658	0.078158964
chr14:102991046-102991386	1.55753233	0.024721848	0.078158964
chr7:47675013-47675155	1.928521056	0.024743887	0.078183211
chr8:55071691-55071823	1.888855927	0.024782307	0.07825765
chr20:49100027-49100544	2.341752236	0.024796212	0.07825765
chr16:74901429-74901821	0.288776531	0.024839404	0.078348519
chr18:57566379-57566616	1.498081434	0.024891437	0.078467155
chr21:28221663-28222017	0.559667213	0.02490818	0.07847447
chr10:19927503-19927756	4.490330017	0.025059887	0.078906738
chr10:42798094-42798242	4.878167246	0.025124957	0.079065872
chr10:43470671-43470827	3.20350397	0.025142568	0.079075555
chr21:44937921-44938237	5.44426296	0.025288412	0.079488302
chr20:25846181-25846562	1.985417989	0.025419548	0.079854364
chr20:30183712-30184220	0.440446173	0.025600767	0.080377249
chr6:14676415-14676598	4.052466406	0.025726035	0.080723965
chr2:227666599-227666819	1.359311895	0.025861803	0.081097328
chr1:941791-942135	0.700104082	0.025874832	0.081097328
chr20:4198420-4198722	0.530953023	0.025898933	0.081126134
chr4:2780332-2780529	0.494006185	0.025932391	0.0811842
chr1:235243001-235243596	0.5563226	0.025975765	0.081251458
chr19:789308-789721	0.602529379	0.025983741	0.081251458
chr2:235388083-235388436	0.677535967	0.026046013	0.0813994
chrX:139846160-139846550	2.793000998	0.026070187	0.08142818
chr8:146047058-146047297	1.589419305	0.026132119	0.081574789
chr10:3441336-3441600	2.532935428	0.026191028	0.081699901
chr20:3394210-3394590	1.235140857	0.026202229	0.081699901
chr14:107254436-107254688	0.57943821	0.026270211	0.081864959
chr20:43767332-43767709	0.551893938	0.026405746	0.082240221
chr22:46934347-46934575	1.317904237	0.02646662	0.082382654
chr20:52732445-52732648	1.496852678	0.026487653	0.082400985
chr20:52520115-52520714	2.251992842	0.026576226	0.082625622
chr16:79802428-79802570	0.399572977	0.026596688	0.082625622
chrX:73510244-73510542	3.963244951	0.02660542	0.082625622
chr3:137768870-137769254	0.555357617	0.026637756	0.082678855
chrX:73756210-73756567	2.843534265	0.026668527	0.082727169
chr20:52519942-52520105	2.463181044	0.026694492	0.082760529
chr8:118452053-118452556	2.19755077	0.026823287	0.083074263
chr10:5520306-5520476	10.26605133	0.026826223	0.083074263
chr2:235383891-235384152	0.419652285	0.02691735	0.083298712
chr11:94886240-94886569	0.598372961	0.026959986	0.083298712
chr12:13025126-13025347	1.67243962	0.026964863	0.083298712
chr20:56592321-56592469	1.781781557	0.026975956	0.083298712
chrX:130952432-130952771	2.050276892	0.026984559	0.083298712
chr1:234972080-234972525	4.398534309	0.026990558	0.083298712
chr5:55818829-55819116	0.398616872	0.02708877	0.083554419
chr3:152965278-152966000	2.365566946	0.027140358	0.083666113
chr7:39774001-39774145	2.612692115	0.027252427	0.083940053
chr10:5521591-5521814	10.85122473	0.027260076	0.083940053
chr20:52444580-52444892	0.457286605	0.027300526	0.08401706
chr10:5333644-5334212	2.344831655	0.02756755	0.084751796
chr18:12408700-12408821	1.303901926	0.027570424	0.084751796
chr7:104604382-104604536	0.643470663	0.027750831	0.085177035
chr7:139931722-139931923	2.482019075	0.027754861	0.085177035
chr9:114707434-114708001	2.603441363	0.027762522	0.085177035
chr15:99965380-99965718	3.861454229	0.027771377	0.085177035
chr9:139540778-139541198	0.412704818	0.027843767	0.085350951
chr5:14672104-14672643	3.236222959	0.027868025	0.085377211
chr1:1098630-1098901	0.646091779	0.027934189	0.085531751
chr17:7854986-7855236	0.497559997	0.027958828	0.085559047
chrX:8698180-8698491	3.071435609	0.027978667	0.085571627
chr3:138594717-138594956	0.425330016	0.0280995	0.085892911
chrX:1644352-1644557	2.329563116	0.028125346	0.085923642
chr6:14661271-14661715	2.202222177	0.028149841	0.085950215
chr7:113076-113191	0.451386186	0.02832529	0.086437411
chr7:149280287-149280529	2.971196422	0.028379248	0.086553526
chr6:137242009-137242335	3.209241558	0.02848427	0.086798181
chr4:10830954-10831154	3.268987508	0.028491371	0.086798181
chr8:129036981-129037022	6.146995966	0.028512381	0.086812168
chr12:46917975-46918280	6.01297993	0.028527873	0.086812168
chr20:52480421-52480878	1.353316426	0.028642641	0.087093501
chr20:21489032-21489415	7.8870905	0.028652337	0.087093501
chr12:42415410-42415595	2.773701518	0.028748534	0.087280545
chr20:31126196-31126450	6.627094573	0.028752799	0.087280545
chr8:67447907-67448273	2.957176524	0.028761995	0.087280545
chr8:90901747-90901955	1.978955632	0.028806321	0.087366328
chr7:1181035-1181120	0.575853446	0.028869945	0.087510512
chr8:2704498-2704682	0.481166656	0.028901514	0.087557427
chr6:135859214-135859375	2.75003369	0.028950444	0.087618297
chr4:41936193-41936441	3.094048386	0.028953813	0.087618297
chr14:21150605-21151121	0.698678692	0.028992564	0.087686793
chr22:42832192-42832354	1.985885484	0.029014652	0.087704844
chr22:20310414-20310572	1.838625799	0.029270477	0.08842902
chr14:22896809-22896968	2.523332788	0.0292977	0.088462144
chr6:138151589-138151844	0.576586445	0.029395525	0.088708294
chr2:238383141-238383356	2.425885986	0.029453347	0.088781956
chr1:229296726-229296995	0.386471895	0.029454658	0.088781956
chr8:40207660-40208018	7.712390129	0.029486692	0.088781956
chr2:238066036-238066584	0.714263913	0.029496951	0.088781956
chr1:226315308-226315548	2.137603041	0.029516355	0.088781956
chr6:134761528-134761869	0.490691713	0.029517838	0.088781956
chr10:43248764-43248842	0.566760312	0.029570182	0.088890256
chr12:3420784-3421182	1.490251229	0.029631392	0.089025071
chr20:20343522-20343915	17.92103497	0.02971356	0.089222671
chr4:9693091-9693174	0.226768866	0.029791899	0.089408561
chr9:3719575-3720240	0.549352452	0.029812706	0.089421683
chr14:35399728-35399899	0.4314157	0.029869809	0.089543597
chr6:138523816-138523995	9.678047745	0.029925005	0.089659664
chr11:10948299-10948671	0.404993965	0.029967247	0.089736815
chr14:105500629-105500990	2.987672987	0.030145859	0.090222011
chr19:996390-996745	1.656315133	0.03017158	0.090229628
chr22:50327730-50328489	1.299560168	0.03018157	0.090229628
chr8:117466702-117466888	2.714767004	0.030204874	0.090242375
chr22:47848340-47848433	8.155929101	0.030219005	0.090242375
chr6:121399720-121399938	3.372269556	0.030275465	0.090361385
chr1:235126160-235126371	0.427793943	0.03033333	0.090484456
chr5:55724940-55725264	2.838236987	0.03039978	0.090632988
chr14:22642942-22643303	1.331825645	0.03047198	0.09079849
chr17:1134847-1135025	0.501527414	0.030504713	0.090846276
chr16:11591931-11591962	2.929030638	0.03053873	0.090897828
chr2:238382776-238383011	3.02562676	0.030636375	0.09113861
chr1:226315631-226315825	2.498527188	0.030724012	0.091349371
chr6:138111354-138111837	2.619214971	0.030775555	0.091452647
chr7:139952632-139953094	3.236649387	0.030998268	0.092033609
chr7:48126389-48126700	0.723597196	0.031029308	0.092033609
chr16:85368480-85368758	1.918402019	0.031030271	0.092033609
chr22:43139012-43139195	Inf	0.031043906	0.092033609
chr1:19839147-19839427	1.880576273	0.031055634	0.092033609
chr8:49529507-49529870	0.573764174	0.031151558	0.092267625
chr2:239473151-239473253	2.829583504	0.031238637	0.092475203
chr3:184458237-184458578	0.677662413	0.031313706	0.0926039
chr14:20959834-20960116	4.059737563	0.031316151	0.0926039
chr3:149057749-149057981	1.981237352	0.031414004	0.092828468
chr6:7618671-7618993	0.583534189	0.031445708	0.092828468
chr8:144189739-144190110	0.511476216	0.031448255	0.092828468
chr7:93928348-93928567	1.486431501	0.031460337	0.092828468
chr16:57428268-57428658	2.019590535	0.031541376	0.092895214
chr20:60956313-60956720	1.801775786	0.031544834	0.092895214
chrX:7896783-7897141	0.834818206	0.031551128	0.092895214
chr3:177434552-177434810	11.01848435	0.031551251	0.092895214
chr22:39253318-39253463	0.349937863	0.031786599	0.093537526
chr6:145438577-145438785	3.813081191	0.031906606	0.093839917
chr8:127829528-127829825	6.316338573	0.03195027	0.093917569
chr12:12589911-12590246	4.001970889	0.032052893	0.094168354
chr14:35435578-35435890	3.185885096	0.032070444	0.09416907
chr2:242484648-242485001	0.555552256	0.032099595	0.094203827
chr3:139112882-139113199	3.86196109	0.032117108	0.094204411
chr5:159414162-159414427	0.615195547	0.03219356	0.094280293
chr10:15238092-15238482	0.478176488	0.032194622	0.094280293
chr4:146101946-146102251	0.636871764	0.032198751	0.094280293
chrY:10023047-10023682	2.324622509	0.032212289	0.094280293
chr20:55362710-55362938	9.619036438	0.032241641	0.094315467
chr6:6707572-6707761	0.295029817	0.032347213	0.094573448
chr6:159514738-159514976	2.257281948	0.032544734	0.095099838
chr20:43327095-43327376	2.052434423	0.032567784	0.095116108
